
*** Voronoi Diagram Neighbours k = 751 ***
Seed	Neighbours
N751(522)	{ 140 521 524 141 523 }
N751(523)	{ 86 521 522 743 524 450 }
N751(524)	{ 239 141 522 743 523 18 }
N751(525)	{ 195 246 683 526 537 }
N751(526)	{ 195 669 7 525 684 668 683 }
N751(527)	{ 668 669 671 667 670 }
N751(528)	{ 671 602 667 704 685 601 }
N751(529)	{ 158 698 533 209 719 210 530 }
N751(530)	{ 158 245 719 244 529 }
N751(531)	{ 532 210 720 307 719 }
N751(532)	{ 531 211 307 533 210 306 }
N751(533)	{ 532 210 529 699 698 306 }
N751(534)	{ 417 241 637 252 413 }
N751(535)	{ 321 241 726 634 666 }
N751(536)	{ 159 245 246 539 420 537 }
N751(537)	{ 246 539 536 247 683 682 525 }
N751(538)	{ 539 493 663 494 247 }
N751(539)	{ 493 538 420 247 537 536 }
N751(540)	{ 67 89 275 66 283 }
N751(541)	{ 307 308 211 542 327 324 248 }
N751(542)	{ 541 324 248 628 566 327 }
N751(543)	{ 545 544 327 692 160 628 }
N751(544)	{ 499 500 160 545 543 309 }
N751(545)	{ 327 543 544 723 308 309 }
N751(546)	{ 345 551 15 621 346 547 }
N751(547)	{ 345 353 23 621 546 617 }
N751(548)	{ 618 621 617 622 620 623 619 549 }
N751(549)	{ 548 623 625 627 622 626 }
N751(550)	{ 551 586 347 58 627 346 626 }
N751(551)	{ 346 546 550 15 347 }
N751(552)	{ 366 557 367 737 230 555 }
N751(553)	{ 516 12 37 38 11 738 554 113 }
N751(554)	{ 738 553 739 11 555 }
N751(555)	{ 552 738 366 739 737 554 }
N751(556)	{ 367 114 517 738 366 113 }
N751(557)	{ 367 552 114 702 293 292 230 }
N751(558)	{ 176 481 482 379 593 576 448 }
N751(559)	{ 501 500 160 502 659 560 565 }
N751(560)	{ 160 495 559 660 561 659 }
N751(561)	{ 560 660 495 665 661 662 }
N751(562)	{ 563 407 301 665 661 664 }
N751(563)	{ 562 564 407 609 301 411 }
N751(564)	{ 563 411 659 407 300 }
N751(565)	{ 502 503 504 304 659 300 559 }
N751(566)	{ 248 491 419 628 418 542 }
N751(567)	{ 297 103 178 568 445 104 }
N751(568)	{ 445 567 736 179 104 }
N751(569)	{ 273 249 459 672 163 598 }
N751(570)	{ 103 24 32 102 468 16 }
N751(571)	{ 115 120 2 679 572 575 }
N751(572)	{ 571 680 679 730 120 629 }
N751(573)	{ 630 631 680 632 629 }
N751(574)	{ 473 354 349 681 472 476 }
N751(575)	{ 343 2 571 681 679 476 }
N751(576)	{ 483 379 593 449 558 }
N751(577)	{ 508 498 578 5 499 }
N751(578)	{ 577 500 499 579 5 501 }
N751(579)	{ 578 501 502 580 5 503 }
N751(580)	{ 579 503 582 5 581 }
N751(581)	{ 503 505 504 580 696 506 582 }
N751(582)	{ 5 508 580 696 581 507 }
N751(583)	{ 511 749 438 53 713 146 }
N751(584)	{ 382 82 356 266 79 213 }
N751(585)	{ 84 648 362 649 361 83 }
N751(586)	{ 550 347 674 58 673 }
N751(587)	{ 588 95 674 94 58 }
N751(588)	{ 393 587 95 392 590 589 94 }
N751(589)	{ 392 588 676 590 255 }
N751(590)	{ 588 675 94 676 589 591 }
N751(591)	{ 675 674 590 677 673 676 }
N751(592)	{ 202 450 593 203 447 }
N751(593)	{ 576 449 558 203 592 447 448 }
N751(594)	{ 223 224 462 461 282 }
N751(595)	{ 223 289 462 463 118 117 }
N751(596)	{ 365 225 512 290 55 }
N751(597)	{ 251 390 646 391 645 }
