
***             Voronoi Diagram k = 2444         ***
index	sx	sy	ls	mi
      501	    234	    463	      12.2	   3.5e+08
      502	    223	    458	      8.66	  3.71e+08
      503	    205	    451	      9.43	  4.18e+08
      504	    207	    458	      7.35	  4.49e+08
      505	    249	    382	      6.16	  1.22e+09
      506	    239	    378	      4.24	  1.11e+09
      507	    245	    376	       5.1	  1.28e+09
      508	    222	    374	      8.54	  6.53e+08
      509	    224	    364	      8.37	  7.12e+08
      510	    242	    372	       5.1	  1.07e+09
      511	    237	    374	      4.47	  9.07e+08
      512	    420	    610	      7.07	  6.51e+08
      513	    481	    147	       4.9	  4.69e+08
      514	    474	    143	      3.32	  1.09e+09
      515	    473	    140	      3.46	  9.99e+08
      516	    466	    146	         5	  1.29e+09
      517	    465	    139	      3.87	  1.31e+09
      518	    468	    135	      4.24	  7.66e+08
      519	    473	    137	         4	  7.24e+08
      520	    479	    130	      4.58	  4.25e+08
      521	    475	    134	      3.87	  5.29e+08
      522	    470	    131	      4.24	   5.2e+08
      523	    476	    125	      6.16	  2.88e+08
      524	    452	    157	      3.61	  1.34e+09
      525	    453	    151	       5.2	  1.55e+09
      526	    434	    145	         4	  1.11e+09
      527	    433	    149	         4	  1.61e+09
      528	    428	    153	      3.74	  1.73e+09
      529	    422	    146	      3.32	  5.56e+08
      530	    423	    139	      5.39	  3.11e+08
      531	    427	    138	       4.9	  2.96e+08
      532	    447	    137	      4.24	  6.37e+08
      533	    445	    139	      3.74	  8.02e+08
      534	    437	    142	      4.12	  8.38e+08
      535	    432	    134	      7.14	  2.73e+08
      536	    461	    147	       5.1	  1.41e+09
      537	    452	    147	      4.24	  1.47e+09
      538	    450	    142	      4.36	  1.26e+09
      539	    452	    139	         4	  9.78e+08
      540	    647	    314	      13.4	  4.67e+08
      541	    446	    212	      6.78	  4.82e+08
      542	    434	    203	      6.48	  1.01e+09
      543	    437	    196	      6.56	  1.03e+09
      544	    461	    195	       6.4	  4.79e+08
      545	    455	    195	      5.57	  7.01e+08
      546	    450	    191	      6.78	  9.59e+08
      547	    458	    188	      4.47	  7.66e+08
      548	    466	    169	      4.69	  9.77e+08
      549	    464	    173	       5.2	  9.19e+08
      550	    458	    173	      5.83	  1.12e+09
      551	    457	    168	      6.16	  1.22e+09
      552	    466	    164	         4	  1.17e+09
      553	    461	    178	       4.8	  9.27e+08
      554	    457	    185	       5.1	  8.92e+08
      555	    452	    180	      6.32	  1.11e+09
      556	    444	    178	      6.48	  1.23e+09
      557	    447	    185	      6.63	  1.05e+09
      558	    435	    184	      6.08	  1.24e+09
      559	    438	    175	      6.71	  1.34e+09
      560	    476	    168	      7.35	  4.51e+08
      561	    472	    163	      3.46	  8.36e+08
      562	    485	    167	      12.1	  3.77e+08
      563	    485	    151	      8.94	  4.07e+08
      564	    480	    158	         7	  4.42e+08
      565	    470	    159	      4.12	  1.22e+09
      566	    466	    154	      5.66	  1.27e+09
      567	    437	    228	      9.54	  4.34e+08
      568	    432	    230	      7.14	   5.3e+08
      569	    427	    217	      6.08	  9.46e+08
      570	    441	    224	      9.22	  4.48e+08
      571	    449	    221	      14.1	  4.08e+08
      572	    431	    212	      5.92	   9.4e+08
      573	    507	    455	      5.48	  7.27e+08
      574	    503	    461	      6.48	  7.23e+08
      575	    497	    458	      5.29	  7.36e+08
      576	    500	    450	         4	  7.54e+08
      577	    432	    170	       4.8	  1.52e+09
      578	    426	    170	       4.8	  1.45e+09
      579	    423	    164	         5	  1.56e+09
      580	    427	    160	      4.47	  1.53e+09
      581	    431	    175	       4.9	  1.43e+09
      582	    422	    180	      5.74	  1.46e+09
      583	    425	    175	       5.1	  1.49e+09
      584	    415	    178	      4.24	  1.09e+09
      585	    416	    181	         5	  1.38e+09
      586	    404	    184	      7.21	  6.72e+08
      587	    405	    176	      5.57	  6.81e+08
      588	    410	    174	      4.36	   8.5e+08
      589	    411	    163	      4.58	   1.7e+09
      590	    408	    169	       4.9	  1.42e+09
      591	    404	    170	      4.12	  1.15e+09
      592	    403	    162	      4.12	  1.05e+09
      593	    407	    160	       4.8	  1.17e+09
      594	    424	    157	      3.74	  1.75e+09
      595	    420	    160	      4.69	   1.7e+09
