
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(497)	{ 39 498 24 40 731 496 260 }
N774(498)	{ 337 40 497 499 24 336 }
N774(499)	{ 498 23 336 500 342 24 }
N774(500)	{ 342 341 499 501 41 24 }
N774(501)	{ 500 41 24 496 733 42 732 }
N774(502)	{ 736 737 739 738 735 }
N774(503)	{ 71 315 70 739 504 738 }
N774(504)	{ 72 316 314 315 739 503 44 }
N774(505)	{ 204 427 349 506 169 170 }
N774(506)	{ 169 205 505 152 171 170 }
N774(507)	{ 173 509 508 513 188 242 }
N774(508)	{ 173 156 174 509 507 464 }
N774(509)	{ 507 464 508 470 511 188 510 }
N774(510)	{ 470 511 509 652 177 469 }
N774(511)	{ 509 177 510 512 188 178 }
N774(512)	{ 511 513 188 178 665 628 187 }
N774(513)	{ 188 507 512 242 187 }
N774(514)	{ 544 572 546 151 756 370 755 }
N774(515)	{ 153 572 371 573 69 545 }
N774(516)	{ 421 374 377 521 520 422 }
N774(517)	{ 421 219 518 376 377 }
N774(518)	{ 376 517 377 743 142 519 }
N774(519)	{ 377 520 743 742 518 }
N774(520)	{ 377 516 521 742 741 519 }
N774(521)	{ 516 422 741 520 4 }
N774(522)	{ 392 533 528 702 523 532 }
N774(523)	{ 524 392 444 702 443 522 }
N774(524)	{ 523 392 444 761 525 757 }
N774(525)	{ 526 392 761 524 445 }
N774(526)	{ 525 445 527 392 446 }
N774(527)	{ 526 446 447 528 392 448 }
N774(528)	{ 527 392 533 448 522 }
N774(529)	{ 561 530 750 562 704 }
N774(530)	{ 561 699 9 704 531 529 }
N774(531)	{ 699 700 701 702 704 703 530 }
N774(532)	{ 522 702 751 703 752 400 533 }
N774(533)	{ 528 522 532 753 752 448 }
N774(534)	{ 427 122 537 535 428 }
N774(535)	{ 122 121 460 537 536 534 }
N774(536)	{ 460 535 537 738 737 70 }
N774(537)	{ 535 534 428 737 736 536 }
N774(538)	{ 484 360 29 179 180 }
N774(539)	{ 359 65 484 35 27 }
N774(540)	{ 635 33 636 543 37 }
N774(541)	{ 36 221 635 33 136 }
N774(542)	{ 68 543 33 129 130 }
N774(543)	{ 33 542 130 636 540 129 }
N774(544)	{ 152 205 167 151 546 172 514 }
N774(545)	{ 152 572 172 573 515 171 }
N774(546)	{ 544 572 172 514 }
N774(547)	{ 548 7 550 245 55 }
N774(548)	{ 113 7 547 549 246 245 }
N774(549)	{ 247 246 548 633 245 56 }
N774(550)	{ 245 547 632 244 55 }
N774(551)	{ 298 433 435 297 296 243 256 }
N774(552)	{ 326 67 553 327 183 }
N774(553)	{ 552 183 437 554 327 442 }
N774(554)	{ 553 442 441 556 327 555 }
N774(555)	{ 441 556 554 744 440 13 }
N774(556)	{ 13 554 555 557 328 327 }
N774(557)	{ 326 327 556 600 328 131 }
N774(558)	{ 563 401 675 274 559 }
N774(559)	{ 560 401 395 675 674 558 }
N774(560)	{ 395 559 561 401 9 }
N774(561)	{ 530 9 560 562 401 529 }
N774(562)	{ 561 401 529 754 750 563 }
N774(563)	{ 401 558 274 255 754 562 753 }
N774(564)	{ 429 430 567 103 566 }
N774(565)	{ 495 269 566 268 743 430 142 }
N774(566)	{ 268 104 565 430 567 564 431 }
N774(567)	{ 564 103 566 432 431 }
N774(568)	{ 455 394 571 456 453 }
N774(569)	{ 289 416 267 571 456 570 }
N774(570)	{ 291 77 267 571 569 457 }
N774(571)	{ 456 568 569 453 446 457 570 }
N774(572)	{ 546 172 514 545 515 371 370 }
N774(573)	{ 515 69 545 171 }
N774(574)	{ 15 47 684 34 749 26 45 }
N774(575)	{ 302 108 89 277 112 616 576 300 }
N774(576)	{ 369 112 616 51 575 }
N774(577)	{ 368 367 91 51 617 578 92 }
N774(578)	{ 616 51 617 577 275 }
N774(579)	{ 584 265 64 682 123 580 }
N774(580)	{ 64 591 581 682 235 579 }
N774(581)	{ 64 580 592 582 591 }
N774(582)	{ 583 64 125 592 581 124 }
N774(583)	{ 582 125 64 625 126 584 }
N774(584)	{ 579 64 625 265 583 }
